,id,lat,lon,time
96130,40084,7.084724137931033,51.60986206896552,2011-08-25
96237,81824,6.885416666666667,65.45025000000001,2011-08-25
96238,81828,8.512666666666668,65.07558333333331,2011-08-25
96245,88651,11.024777777777778,63.04897222222223,2011-08-25
96246,88652,8.466944444444444,55.387916666666676,2011-08-25
96248,88671,8.071833333333338,55.02519444444445,2011-08-25
96382,37192,10.505194444444443,54.95838888888888,2011-09-03
96384,37200,10.3785,52.880999999999986,2011-09-03
96388,39204,13.356555555555556,63.992916666666666,2011-09-03
96496,81824,5.207869565217392,65.67304347826087,2011-09-03
96497,81828,8.954555555555554,65.82125,2011-09-03
96504,88651,11.392611111111112,64.12166666666667,2011-09-03
96505,88652,10.83188888888889,55.91091666666666,2011-09-03
96507,88671,7.038954545454548,55.158136363636366,2011-09-03
96641,37192,13.312777777777779,58.38777777777778,2011-09-12
96643,37200,13.54275,53.75736111111111,2011-09-12
96647,39204,11.453222222222223,63.566972222222226,2011-09-12
96755,81824,5.317181818181819,65.61827272727272,2011-09-12
96756,81828,7.13886111111111,65.48833333333334,2011-09-12
96763,88651,11.051805555555555,65.6985833333333,2011-09-12
96764,88652,10.956555555555555,59.56705555555556,2011-09-12
96766,88671,5.7780344827586205,53.682689655172425,2011-09-12
96900,37192,14.724583333333335,62.21163888888889,2011-09-21
96902,37200,14.096666666666666,56.29180555555557,2011-09-21
96906,39204,10.660055555555553,63.32747222222221,2011-09-21
97014,81824,5.661055555555555,66.24216666666666,2011-09-21
97015,81828,6.500916666666665,64.59313888888887,2011-09-21
97022,88651,10.689388888888887,66.70088888888888,2011-09-21
97023,88652,12.260694444444443,61.36227777777778,2011-09-21
97025,88671,6.064750000000003,52.525138888888904,2011-09-21
97159,37192,14.921638888888886,63.97675,2011-09-30
97161,37200,15.33041666666667,57.962555555555554,2011-09-30
97165,39204,10.4605,63.1175,2011-09-30
97273,81824,5.1154,66.483,2011-09-30
97274,81828,6.346083333333333,63.38633333333334,2011-09-30
97281,88651,9.153861111111112,67.19069444444443,2011-09-30
97282,88652,9.864249999999998,61.42419444444445,2011-09-30
97284,88671,9.467555555555553,52.6357777777778,2011-09-30
97418,37192,16.190285714285718,62.67646428571429,2011-10-09
97420,37200,17.500805555555548,58.968833333333336,2011-10-09
97533,81828,6.3512499999999985,62.280249999999995,2011-10-09
97540,88651,8.184555555555555,67.52111111111111,2011-10-09
97541,88652,7.639666666666669,59.528694444444454,2011-10-09
97543,88671,12.113361111111113,57.12105555555555,2011-10-09
97679,37200,15.662733333333334,58.04486666666666,2011-10-18
97792,81828,6.3365833333333335,61.421166666666664,2011-10-18
97799,88651,9.555166666666668,67.61141666666667,2011-10-18
97800,88652,6.471138888888889,59.52813888888889,2011-10-18
97802,88671,14.73313888888889,57.199638888888884,2011-10-18
98051,81828,6.439916666666667,61.13377777777777,2011-10-27
98058,88651,10.362787878787879,68.50766666666667,2011-10-27
98059,88652,6.410055555555556,59.825750000000006,2011-10-27
98061,88671,16.224888888888884,55.78597222222223,2011-10-27
98310,81828,6.813999999999999,60.51697222222222,2011-11-05
98318,88652,6.446,60.17230555555557,2011-11-05
98320,88671,14.567055555555555,56.62869444444445,2011-11-05
98569,81828,7.931361111111111,59.30544444444443,2011-11-14
98577,88652,6.411722222222221,59.16449999999999,2011-11-14
